repo,primary_dir,superclass,dominant_leaf,commit_count,distinct_authors,first_seen,last_seen,sample_subjects
posx-mokobara-store,src/components,correction,bug_fix,136,11,2025-11-13,2026-09-03,"fix(inwards): close the Pending block, and stop action links latching active | fix(inwards): label USN receipts as USN, not an empty EAN | fix(inwards): make the PIN dialog footer an actual flex row"
posx-mokobara-backend,src/workflows,correction,bug_fix,135,8,2025-11-20,2026-09-02,"fix(inwards): crypto PINs, per-SKU stock deltas, shared reversal | fix(inwards): address review — PIN authority, USN uniqueness, atomicity | fix(inwards): count USN receipts towards the order"
posx-comet-store,src/components,correction,bug_fix,121,12,2025-03-16,2026-08-31,fixes | comet-hq-fixes | fix: apply CodeRabbit auto-fixes
posx-comet-backend,src/workflows,correction,bug_fix,108,12,2025-03-18,2026-08-26,fix: apply CodeRabbit auto-fixes | comet-hq-fixes | comet-hq-fixes
posx-comet-backend,src/workflows,other,other,85,7,2025-03-13,2026-07-02,WIP (bugs) | invoice code has change here | invoice code has change here
posx-frido-backend,src/workflows,correction,bug_fix,81,6,2025-07-23,2026-09-03,"fix: expand fallback order export to one row per SKU with amount punched (#368) | fix: expand fallback order export to one row per SKU with amount punched | fix: remove any types, add CSV injection protection, paginate export"
posx-mokobara-store,src/components,other,other,80,8,2025-10-28,2026-08-24,"Return approver: list all store employees, reset on order change | minor-changes | header: drive nav width from cart panel state, not URL"
posx-eume-backend,src/workflows,correction,bug_fix,72,8,2025-08-29,2026-08-26,"fix(return-approval): correct the exchange OTP test, bound config, guard storage | fix(return-approval): drop the last store-row cast in the exchange discount gate | fix(return-approval): log the silent attribution failure, expire at the boundary"
posx-frido-backend,src/api,correction,bug_fix,70,4,2025-07-28,2026-08-26,"fix: cap concurrent Shopify product-update webhook workflows | fix: replace raw console.log(error) with safe message-only logging (#357) | fix: address CodeRabbit review — type-safe error normalization, no as-any"
posx-frido-store,src/components,other,other,70,6,2025-07-11,2026-04-20,merging csat | removed returns and exchange for temp | WIP: reverse OMS
posx-mokobara-backend,src/api,correction,bug_fix,68,9,2025-11-19,2026-09-02,fix(inwards): forward the USN fields in the sale-order response | fix(inwards): never zero a real ordered quantity; retire dead over-qty reporting | fix(inwards): never zero a real ordered quantity; retire dead over-qty reporting
posx-mokobara-store,src/pages,correction,bug_fix,67,7,2025-11-28,2026-09-03,"fix(inwards): the order summary belongs in the scrolling body | fix(inwards): fixed header with its own scrolling body, instead of sticky | fix(inwards): let the page actually scroll so the sticky header can anchor"
posx-comet-store,src/components,other,other,66,7,2025-03-17,2026-08-25,disable-veirfy-on-non-payemnts-screens | disable-veirfy-on-non-payemnts-screens | force-cancle-payemnts
posx-frido-backend,src/workflows,other,other,66,5,2025-07-18,2026-06-22,Enhance Shopify media handling with authoritative image management and source st | Feedback Export Functionality [On Email] - Email template Improvement | Feedback Export Functionality [On Email] - Email template Improvement
posx-mokobara-admin,src/routes,correction,bug_fix,65,9,2025-11-21,2026-09-02,fix(gift-vouchers): type the activation error and clarify the date rule | fix(gift-vouchers): type the activation error and clarify the date rule | fix(gift-vouchers): allow selecting spent vouchers for recall
posx-comet-backend,src/api,correction,bug_fix,63,13,2025-03-19,2026-08-28,comet-hq-fixes | fix(mokobara): enforce actor capability and scope | fix(comet): enforce operation capabilities at routes
posx-comet-backend,src/modules,correction,bug_fix,60,8,2025-03-20,2026-08-25,fix(comet): fence local completion recovery | fix(gift-card): fail closed without atomic settlement | fix(comet): isolate provider clients by account
posx-comet-backend,src/api,other,other,59,7,2025-03-19,2026-08-31,manual-payment-entry-status | manual-payment-entry | force-cancle-payments
posx-mokobara-backend,src/modules,correction,bug_fix,59,8,2025-11-21,2026-09-02,fix(gift-voucher): let a spent voucher carry a recall | fix(gift-voucher): let a spent voucher carry a recall | fix(gift-voucher): white wordmark + yellow code/terms panels on card
posx-comet-store,src/pages,correction,bug_fix,56,10,2025-04-02,2026-08-31,fix: pass Qwikcilver props to PaymentDetails in exchange payment page | fix: navigate home after successful HIGH_VALUE exchange forward payment | fix: disable orders table date filter reusing report's date-range state
posx-mokobara-backend,src/workflows,other,other,55,7,2025-11-12,2026-05-13,update comments |    feat: move inventory decrement to post-confirm subscriber | credit note and order return and exchange approval
posx-mokobara-backend,src/workflows,code_health,refactor,47,3,2025-11-05,2026-08-13,refactor: convert type-only imports to `import type` repo-wide | refactor(types): move Cart types out of build-summary into src/types | refactor(order): remove no-op X-Shopify-Client-Idempotency-Key header on orderCr
posx-ugaoo-store,src/components,correction,bug_fix,46,3,2026-03-13,2026-07-20,fix: enhance monetary value handling and display across components | fix: round monetary values to avoid discrepancies in payment processing | fix: add skeleton loading component for returnable order cards
posx-eume-backend,src/modules,correction,bug_fix,45,9,2025-10-06,2026-08-21,fix(return-approval): scrub addresses from provider errors before storing them | fix(order-detail): rename Migration20260716000001 so it actually runs | fix(employee): terminate the MANAGER string literal in the create-table migratio
posx-frido-backend,src/modules,correction,bug_fix,45,5,2025-08-11,2026-08-19,fix: 11-Aug prod incident remediation (event-loop stall) — phased (#352) | fix: 11-Aug prod incident remediation (event-loop stall) — phased [PROD] (#353) | fix(unicommerce): stop synchronous verbose logging that stalls the event loop
posx-ugaoo-backend,src/api,correction,bug_fix,45,6,2026-03-21,2026-09-02,"fix: tighten scope check, remove dead code, add seed warning | fix: address CodeRabbit review — seed revoke, scope checks, client filter passth | fix: add cash_reconciliation perms + wire checkEmployeePutAccess"
posx-ugaoo-backend,src/workflows,correction,bug_fix,45,5,2026-03-19,2026-08-26,"fix: set transaction_completed_date in Razorpay callback and export fallback | fix: preserve HSN code leading zeros in order export (stream step) | Revert ""fix: move HSN validation into step functions to fix add-to-cart-workflow"
posx-frido-admin,src/routes,correction,bug_fix,42,5,2025-08-11,2026-09-03,fix: correct import path for useFallbackOrdersTableQuery in export button (#144) | fix: correct import path for useFallbackOrdersTableQuery in export button | fix: decode custom filter conditions into export params
posx-comet-backend,src/modules,other,other,40,5,2025-03-20,2026-08-26,WIP: coupon module | WIP: coupon module | change: invoice for sale
posx-eume-store,src/components,correction,bug_fix,39,12,2025-09-10,2026-09-03,fix(exchange-payment): refetch exchange status on mount to avoid stale due amoun | fix(exchange-payment): refetch exchange status on mount to avoid stale due amoun | fix(exchange-payment): refetch exchange status on mount to avoid stale due amoun
posx-frido-store,src/components,correction,bug_fix,39,7,2025-08-20,2026-08-07,fix: update Frido Connect form URL to new Zoho lead capture form (#173) | fix: update Frido Connect form URL to new Zoho lead capture form (#174) | 📝 Add docstrings to `fix/frido-connect-form-url-prod` (#175)
posx-eume-backend,src/workflows,other,other,38,6,2025-08-19,2026-08-12,Merge pull request #285 from devx-commerce/feat/store-coupon-auto-apply-no-appro | remove TODO  for PARTIALLY_PAID cancellation logic | enhance: exchange flow to give custom discounts
posx-mokobara-admin,src/routes,other,other,38,6,2025-11-10,2026-04-22,changes | coupon validation (#55) | coupon validation
